Bo_14_2b	Bo_15_2b	Bo_22_2b	Bo_23_2b	Bo_22_4b	Bo_23_4b	Bo_20_4b	Bo_21_4b	Bo_14_5b	Bo_15_5b	Bo_22_5b	Bo_23_5b	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19
Scn9a	1.86833679762818	0.642215239177095	1.41901750752517	1.92607993400995	-0.594611579480345	-0.557079363582661	-0.733113308379938	-0.576295420484888	-0.826479648395399	-0.779919404070219	-0.779234630615647	-0.853909540214581	-0.453335350016591	0.129277679149066	-0.613967449807481	0.783018537558292
Lhx6	1.55019308122607	1.73624684621992	1.47873162777039	1.54013785569384	-0.267539113535743	-0.156044217800454	-0.133994965411244	-0.308077997685453	-0.410860035800133	-0.533896778925351	-0.222766667164016	-0.224412095784145	-1.32022676247461	-0.896401709821049	-1.05350639218896	-0.77758267431907
Htr1b	1.39148432253898	1.73980624057546	1.35212455636715	1.46152171040852	-0.709527418515439	-1.01371214800292	-0.435982932785232	-0.821467682749181	-0.774968182416025	-0.863123661282851	-0.874748142072817	-0.722840246909359	-0.388678927210818	-0.483038626552051	0.518698389641106	0.624452748965488
Shh	1.50398480037274	1.87497364352922	1.36725839749352	1.53767269849164	-0.253451571063362	-0.308162647916918	-0.615598123751099	-0.204165180985934	-0.82843306909717	-1.01634534212183	-1.23338007305979	-0.702900994889218	-0.727322257351124	-0.368091616977524	-0.0817244527205188	0.0556857900473675
Prrt4	1.50382020681441	1.1403963624934	1.83177790069495	1.68892047534787	-0.680399912476835	-0.622017965890045	-0.763848882820296	-0.662452852689579	-0.898672529953661	-1.00841406738836	-0.797837973608702	-0.759504224073502	-0.357968214057267	-0.178585828520327	0.265526121730259	0.299261384397678
Slc17a8	1.67322039717744	1.76707234314489	0.908764813147512	1.77736592867918	-1.02329591134404	-1.02436236308491	-0.594321043650729	-1.08531217013007	0.109963811580241	0.149841352065463	-0.672183178957264	-0.229915015738238	-0.755975959931654	-0.220480597930575	-0.417464060841827	-0.362918344185427
LOC103690149	1.93931483705053	0.575859474955527	1.2292567201194	2.35329777051707	-0.599086962355078	-0.443172560718249	-0.43977044410468	-0.601750713850115	-0.650564858231304	-0.406908720566358	-0.631934006800536	-0.887769095657977	-0.447053917905843	-0.421562525637631	-0.748994780577646	0.180839783762887
Baiap3	1.40970884626424	0.979554849287129	2.1349509939535	1.51124971061399	-0.383104236743463	-0.214894322107208	-0.071731450365584	-0.514070553362475	-1.05230243332191	-1.01968341726961	-1.04618180214187	-1.08882443686199	-0.0313221387315057	-0.165433447308214	-0.534720067782062	0.0868039058770418
Asic1	1.55189522594979	1.15939954878055	1.57678943420118	1.67683097416222	-0.329017642102231	-0.38601383808232	-0.630846679911898	-0.305681306053554	-1.10308259769185	-1.07967324458845	-1.16508909000855	-1.15897110657138	-0.193884376906574	0.0189104614951805	0.107515830877247	0.26091840645064
Plppr1	1.16327352204327	1.52168501534252	1.93431967634741	1.23498012133816	-0.908389661874674	-0.901691567628887	-0.995805912788566	-0.857651745903166	-0.733158537702056	-0.687916426156224	-0.851798979307958	-0.817904837681862	0.0414037606871407	0.160584164800498	0.242612361006734	0.455459047477659
Pde8b	1.37010671644512	1.62342387365495	1.48965720236211	1.47664913812977	-0.0764884605965625	-0.28274043842912	-1.02161854902046	0.201210253295246	-0.991597353360002	-0.943044836752375	-1.23097359986933	-1.1210953391176	-0.31614333606007	0.102012511065197	-0.3883004946275	0.108942712880622
Alk	1.23752949659232	1.6562064758959	1.89120678540559	1.18220775461671	-0.368967352387032	-0.310549533120653	-0.315053419008975	-0.433751394498444	-1.0524975165041	-1.09010136664181	-1.22020485517394	-1.07291544309465	-0.198564332769417	-0.313843907702131	0.39627107857001	0.0130275298206144
Ryr1	0.824600331193965	2.34946304885879	1.91239817651188	0.701622488246985	-0.318979110187198	-0.60313054143604	-0.779429405790097	-0.142886746720964	0.034798178475747	0.0583912873783396	-0.975155281306112	-0.321099149978443	-0.409415434983728	-0.478136951029617	-1.36544337474407	-0.487597514489433
Mctp1	1.14110690410183	1.75347598414029	1.69276996762963	1.19570906431561	-0.92158942567513	-0.941182037727981	-0.96029601789118	-0.899344789411317	-0.77493124288437	-0.680358485782545	-0.730563395617085	-0.859752872003186	0.00668103572591029	-0.0376239969610431	0.571497301694384	0.444402006346186
Mc4r	0.889300014377444	2.13435215544287	2.3279913517521	0.767915456932289	-0.502138202420473	-0.373265575704976	-0.369898836427111	-0.571086458053698	-0.579903833736375	-0.472416506799286	-0.628139351949298	-0.75179100993815	-0.0690133954221301	-0.907339582516007	-0.593308297247221	-0.301257928289978
Tac3	1.09381013444841	2.45562396865505	1.34882890952331	0.923932523579462	0.0594225011601145	-0.209025947170015	-0.681015852270027	0.284625084495417	-0.725996365176314	-0.869577696112553	-1.06345007450423	-0.662602497357596	-0.700275250944597	-0.483593194904712	-0.948396896513496	0.177690653091772
AABR07044442.1	1.31323478212394	1.39566738506311	1.99613562958114	1.4245081950574	-0.537191504122339	-0.610298848047226	-0.394843921114883	-0.609839496299718	-0.897713646496194	-0.883970790048583	-0.891379576996045	-0.981641583601078	0.00669176735992341	-0.754887393594481	0.456681964720563	-0.031152963585531
AABR07047586.1	1.28514600149261	1.22262123321972	2.26303540143419	1.30864375141169	-0.681198500097212	-0.681835205609226	-0.833779961444373	-0.681671464450156	-0.834784954752995	-0.831110856544153	-0.833091566373811	-0.838786382328324	-0.260218995002204	0.0642383543105325	0.0702397598821127	0.262553384851603
Trpc7	1.80268397643771	0.801210489793496	1.30086169335128	1.98730740690557	-0.815578801173519	-0.566490520141638	-0.337259828514817	-0.917972717388307	-0.748286560117013	-0.693522069696424	-0.886688485221041	-0.853106791252782	-0.170412194718779	0.672818265041903	-0.689021913875752	0.113458050570118
Sertad4	1.14384382079249	2.02786572914626	1.45730860372882	1.1636847701584	-0.485156096849308	-0.715590321186322	-1.11407855539459	-0.266500955920795	-0.966069471634457	-0.84688413951825	-0.965266724976431	-1.07163753028563	0.0141630784560523	0.415265593041446	-0.137015015264958	0.346067215707274
Pgr15l	1.36119513441728	1.0699117895552	2.62439997486811	1.15641428272527	-0.553088530212606	-0.3553454836716	-0.75260612249374	-0.354917381253086	-0.359155686185531	-0.137101797590684	-0.35030093439642	-0.572887326442578	-0.676740492018696	-0.84613603873176	-0.84439262569684	-0.409248762872315
