logFC	logCPM	PValue	FDR	Bo_20_4b	Bo_21_4b	Bo_22_4b	Bo_23_4b	Bo_24_4b	Bo_25_4b	Bo_14_4b	Bo_15_4b
Grin2a	-1.20214280932752	8.33071276197174	4.96902045744823e-32	3.2644098205217e-29	201.054342344722	200.288906189433	197.228035446099	181.41424434762	469.063097974591	447.824050984939	377.380500443822	500.370998877697
Hapln4	-1.27315558361699	7.94567027315569	4.75333486689443e-32	3.2644098205217e-29	159.371850786652	137.983212788994	141.264105848144	138.296529529069	389.370956852355	372.543266224452	344.050720779026	288.440284217391
Frzb	-2.06410834654572	3.80123071262524	1.05105635416552e-31	6.5910788463943e-29	6.74099343131842	4.64193085287011	4.93536897511352	4.99046833933847	26.2559905067289	16.5160396496116	24.0252453499623	22.418147197127
Arhgef25	-1.20569218776944	6.63282580519041	3.57952734495033e-31	2.14709388047542e-28	54.5347577756349	65.7020022351739	62.3598146678435	57.1897329736318	136.150608444211	155.103797111351	124.079949612015	137.78092910262
Adra1d	-2.24396870459623	5.79795762643148	5.18998317729173e-30	2.98337532974653e-27	26.9604088097391	15.3820863445991	16.9615134331092	18.0919390852096	117.278756512116	72.9380576396706	109.771086768579	66.7645712132197
Gpr22	-1.16983517649523	6.31804216620925	6.12075730975877e-30	3.37767871381728e-27	54.6070947137294	46.6405726458514	47.7598132749013	47.0688499304763	122.35041073205	109.643916582424	110.127212129445	99.0704421896882
Whrn	1.17382980853394	6.15848621605791	1.87495679115162e-29	9.94880918874143e-27	103.167532889949	93.8364808673489	96.9104437677776	101.210559011566	42.1691978380419	37.9998179517287	44.3184253042657	50.6162584242359
Ryr2	-1.04374867951711	9.48568926574331	2.52996470341482e-29	1.29271826104855e-26	469.774221525708	470.365894688299	466.547870707652	466.328971827955	992.826725105158	959.541622123386	1063.01025516668	846.039479923173
Orai2	-1.11355460014357	6.42381963770383	4.57894887459066e-28	2.25611352406617e-25	60.0258861988792	51.9771154943765	52.8347705736053	51.9213447749286	126.645210561516	104.027444514177	116.609499997294	121.768385228668
Scn3b	-1.25827552935289	8.72336132241586	4.89594649648352e-28	2.32911992639609e-25	284.14534525041	240.275977651624	245.474488624389	226.6117743915	671.73832946263	613.462003928791	476.798652137136	621.790201278865
