logFC	logCPM	PValue	FDR	Bo_20_4b	Bo_21_4b	Bo_22_4b	Bo_23_4b	Bo_24_4b	Bo_25_4b	Bo_14_4b	Bo_15_4b
Snn	-0.653066480963715	7.57816991313386	1.16769413267423e-06	1.89523626522043e-05	122.060905061987	172.084993555336	157.741419614137	141.970543467929	205.917049936375	236.362907836307	197.428560417058	294.153540829985
Rnf112	-0.838215422981048	7.42119145982627	1.40900810105726e-17	1.48386837879282e-15	127.482872857744	120.103222314708	120.616730802262	123.254533232469	225.907685920056	198.444123884817	249.773864377073	204.547335846063
Epn2	-0.596108027482702	7.76798431708628	6.7567933495137e-12	2.91302253280909e-10	176.043936823594	175.477770387171	174.425434426015	167.897199014354	267.935582050585	261.550981084813	244.986623393437	274.378844138265
Adora2b	-0.596255327713796	2.4244823709849	0.0005023628594222	0.00389797413306449	4.58587661099293	3.94977932531993	4.03192525003432	4.08978165140811	6.68727034290374	5.6236277794011	6.55227314227964	6.33556628550832
Dnah9	-1.51366381418009	6.54217141110205	2.6231104992983e-20	4.46770770966906e-18	66.699301601168	39.2918166464568	43.4486838536293	43.6710566384563	177.609843913549	127.932493327847	130.279443580423	115.639809956215
Shisa6	-2.31566343426069	5.65392362322748	1.88151207977864e-21	3.87422994815315e-19	27.0325855572892	11.9157267785	13.9021913173099	14.3473423751694	121.851442526485	74.1440213053414	81.1691606889145	57.5045838971
Pfn1	-0.586744499582267	6.62182331119263	1.02743276346346e-07	2.06926458463385e-06	84.6187886933265	76.926895056378	78.4878970949535	74.4507606723466	127.982711384724	136.105163540409	100.265726654777	107.982144689476
Camta2	-0.708279351030855	8.84519399896358	3.10415652962174e-17	3.17221803575271e-15	351.462312941418	355.113706240764	351.840213170635	338.082712687493	584.164689041147	581.72911975997	537.320136332213	578.48532332596
Camkk1	-0.827987007853643	7.6369003638748	1.08733699369654e-11	4.53199430967898e-10	116.641923819736	162.728444889388	149.259708860324	144.744485931036	221.123300250175	226.691575080693	281.69230584154	288.373645058211
Rtn4rl1	-0.645602839316423	6.66495207269885	2.86342692787925e-08	6.38188011260456e-07	82.7425962116215	75.5403673324033	76.6800220940371	81.1765438910166	125.801502725116	106.518778048051	152.961489144973	109.304669936262
