logFC	logCPM	PValue	FDR	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19	svz_16	svz_EXTRA_16	svz_17	svz_EXTRA_17
Sept4.5	-0.582648115359392	7.94163649171817	1.63116980376486e-05	0.000222320058996158	197.122680322262	146.051763874145	259.46660904339	184.501042229622	330.484643902208	279.726980267228	273.231840539035	295.391104516534
Cacna1g	-0.763622722584523	6.98156449629853	5.9557172642607e-13	6.02084453218643e-11	107.527350954533	96.3181336625114	86.1695777985678	84.4330159213183	180.444061064409	141.148478376862	169.583586131977	144.549509842042
Ngfr	-1.84633496041944	2.41293197722695	8.53443351742216e-10	4.09303275722922e-08	1.28710993690694	2.29455760612977	1.87620660792537	3.58463075532429	4.37459524503337	9.3609052802323	7.76715270285983	11.0812488259096
P3h4	-1.03034827799444	3.56926721651767	6.35270063903501e-13	6.37629638426571e-11	8.75060577730496	6.99048556628665	8.46613214395567	6.72024681686236	18.777164751186	14.6652310175129	16.229742806741	13.5200218691999
Cnp	-0.605726029248487	9.57920284334161	0.000572513852168062	0.00441545809586477	569.256142745159	389.595448980181	880.54356733618	586.990648112486	1016.76701216009	843.96735332221	807.214027183735	1024.41287231547
AABR07030498.1	-1.64146986093467	0.181882226871722	6.13137911220517e-05	0.000677343862301156	0.825363906230024	0.747002180921438	0.161368897545735	0.255673890495446	2.30438506973512	0.890329325323872	2.08810273502269	0.969901788109472
Gfap	-0.90902575925208	9.32656867681788	4.25836703261264e-18	1.32974607871717e-15	491.078278742818	390.07541776178	485.608607251441	417.849457866274	956.317937204129	725.944412711645	838.547733035944	830.30410416466
Fam20a	-0.986147924134993	2.67848980092564	6.43950601149951e-06	9.81431002967366e-05	3.66459964671747	5.33601615143179	2.68124765421436	5.18204186871286	6.45831752861949	7.40988073124612	9.21235699194235	10.3539174344535
Abca8a	-1.03276522880673	7.17882396139043	1.98238931748318e-10	1.12779492669124e-08	97.5058177625046	64.4615347833964	127.69481050362	90.5936886550776	225.404254761474	160.229473944172	176.870003775735	215.508127367615
Abca8a.1	-1.03276522880673	7.17882396139043	1.98238931748318e-10	1.12779492669124e-08	97.5058177625046	64.4615347833964	127.69481050362	90.5936886550776	225.404254761474	160.229473944172	176.870003775735	215.508127367615
Josd2	-0.659453669551894	5.3897158378113	2.88520733323166e-08	8.71891041861749e-07	32.8712271979686	25.4538605550206	39.3309141092897	32.0262885715671	55.7552895957493	45.4173786220501	48.2083917115583	55.46330713032
Slc17a6	-1.55805931441396	6.11743738656867	0.00042953942355686	0.00345896159302062	27.6241593092321	71.8770190728165	6.65127672451416	34.4057406026143	68.6258651912143	73.4843391495798	153.509627474891	118.282011130215
RGD1563888	-0.868241092838631	3.62918401369728	2.72958967152821e-07	6.27760950316112e-06	8.48296117689212	6.29693009146798	10.8227297363893	9.10855189672484	16.6922803578044	12.927433295855	14.3560010699709	19.4100887854116
Adamts1	-0.691806420929938	3.09454958523892	4.81672157027744e-08	1.36736508091997e-06	6.54056109981611	6.29672075755001	6.53759743888298	6.41544837313562	10.6882421019614	10.1981426235918	10.6591254748154	10.132637804477
Adamts1.1	-0.691806420929938	3.09454958523892	4.81672157027744e-08	1.36736508091997e-06	6.54056109981611	6.29672075755001	6.53759743888298	6.41544837313562	10.6882421019614	10.1981426235918	10.6591254748154	10.132637804477
Pcsk6	-0.676997549587427	5.38960152774983	5.21837622552061e-06	8.16577090434472e-05	34.8607501905879	23.3728108717193	41.1521520898301	29.3308726100733	61.5873177700006	42.6819046545865	47.6728946243673	53.8655261971241
AABR07004228.1	-0.903846292036991	1.3265974264809	0.00107139755979912	0.00750512388349816	1.28060182282909	2.34777765543937	0.912228015994586	2.12657599121809	2.10372479593366	3.04868131950294	3.53470358900756	3.81448044124046
Nr2f2	-1.55338481490224	4.61220510385962	5.40795140926098e-10	2.7043606122041e-08	11.8658850447082	18.8361910793944	5.52366326105279	13.2492439468305	30.1524381664047	28.9075763540559	46.0089908522613	40.1861285639334
Runx1	-0.727248172881571	1.03294641180352	0.000828130640133573	0.00606088112247758	1.60549586669556	1.2273727935266	1.60736544809265	1.39613580449899	2.75140281271269	1.99564141094829	2.35693453300683	2.57393186221606
Runx1.1	-0.727248172881571	1.03294641180352	0.000828130640133573	0.00606088112247758	1.60549586669556	1.2273727935266	1.60736544809265	1.39613580449899	2.75140281271269	1.99564141094829	2.35693453300683	2.57393186221606
Pde8a	-0.624583014892963	4.66546827648193	0.000207944892703463	0.00189496863311872	18.5204529688114	13.4475275794913	29.0932529213605	18.4668786130138	33.7145365824153	31.6485313743824	27.5329703552409	29.7321151724943
Stard5	-0.62254914445236	2.73132850175567	0.00025685824326074	0.00226434882954826	4.55138666755658	6.08312411569432	4.07388719714311	5.85190981029512	6.56561384080959	8.30719984108591	8.46270052136997	8.33667086734176
Fah	-0.762031626046048	5.05993353832486	3.90922245089202e-09	1.51746944419709e-07	24.9996996673186	18.623562822999	31.2387263291243	23.7981834263749	46.496726947171	37.742604512574	39.1560798257874	43.9370423355626
Plcxd2	-0.618349232315461	4.51111119817013	1.37738445526051e-05	0.000191823650796042	21.4924237350559	18.6766086307093	16.9877280170893	14.4761958525488	33.1557399568108	26.1787122552984	29.5667498603154	21.0748737082866
Capn5	-0.58847884673301	5.384139523777	3.77826879821271e-10	2.01106943759413e-08	36.0801807246058	34.4717246993972	29.8493071308857	32.6985718725447	52.7274877155224	43.7347196629935	52.4924497458886	51.1884505824333
Capn5.1	-0.58847884673301	5.384139523777	3.77826879821271e-10	2.01106943759413e-08	36.0801807246058	34.4717246993972	29.8493071308857	32.6985718725447	52.7274877155224	43.7347196629935	52.4924497458886	51.1884505824333
Rhog	-0.60190273981494	5.61337295439086	1.11492928860515e-05	0.000159541612662725	35.4299511385568	28.4955488135099	51.0117588821159	40.2563254482816	59.6733090800074	56.7225276000579	53.4044686749259	65.7550442522546
Cyb5r2	-0.656646324579427	2.68467246957529	0.000371937417056078	0.00306717405192019	4.32962272868348	3.57542242414469	6.37506757103828	5.33241891263724	7.49542808959337	7.41149460206172	6.96401890796253	9.06357740236344
Apod	-0.738378237724681	7.78242730612719	4.00306616899551e-05	0.000473493988272095	138.82139995142	110.352759440958	223.562548478491	186.999225850233	258.75850074796	246.658161237242	236.648182897084	358.592075308898
Apod.1	-0.738378237724681	7.78242730612719	4.00306616899551e-05	0.000473493988272095	138.82139995142	110.352759440958	223.562548478491	186.999225850233	258.75850074796	246.658161237242	236.648182897084	358.592075308898
