logFC	logCPM	PValue	FDR	Bo_14_5b	Bo_15_5b	Bo_20_5b	Bo_21_5b	Bo_22_5b	Bo_23_5b	Bo_24_5b	Bo_25_5b
Crybb1	-1.39623387453766	0.244057988467103	9.09550203091927e-06	0.000217212652340487	0.623639167964216	0.636961297478834	1.42447511938853	1.2597774394775	0.489980608693355	0.540743540660339	2.09236098504284	1.31887533781215
Crybb1.1	-1.39623387453766	0.244057988467103	9.09550203091927e-06	0.000217212652340487	0.623639167964216	0.636961297478834	1.42447511938853	1.2597774394775	0.489980608693355	0.540743540660339	2.09236098504284	1.31887533781215
Acta2	-0.846678835310333	1.76125844445683	0.000173892528311154	0.00247869308063524	2.49451471308469	2.89949720387641	4.12851506477234	3.35937937882444	1.88999487433048	2.02624776205433	5.98942169424578	3.29212372145143
Ust	-0.640259885880004	3.96758501114071	3.49003174249011e-07	1.39642088784312e-05	11.4997954590028	9.99485142969504	17.9397884156811	22.8731887031798	13.3628026236463	13.6130798961292	15.7640243128171	18.9954096029128
Nfkb2	-0.641231014950507	1.83204226240669	0.000214839189670293	0.00294575097339507	2.84091382681467	2.90208717521275	4.05786379783187	3.42922342462277	2.30967745480259	2.63848611014933	4.49150023687901	4.7094507971779
Nfkb2.1	-0.641231014950507	1.83204226240669	0.000214839189670293	0.00294575097339507	2.84091382681467	2.90208717521275	4.05786379783187	3.42922342462277	2.30967745480259	2.63848611014933	4.49150023687901	4.7094507971779
Adra2a	-0.857496761668069	4.3094711519986	1.41916841361938e-07	6.38812518814722e-06	11.7748126074772	13.1053968997085	31.0792078975307	26.0945191396796	19.445364473198	11.6900836737647	18.7570365696439	25.6147446750877
LOC304725	-0.863801064835153	2.55997776270372	0.000107681862348862	0.00167826720316836	4.36530077627374	4.60007993763003	6.69537198169026	7.20619866311359	3.49949867554491	3.92266526465278	11.3302222567282	4.58886208724375
Bcl2	-0.706078906990312	2.48362412354328	8.6381080427003e-06	0.000207739666882796	3.87917010820452	3.82637149031093	6.83212396157404	8.18325080008463	4.75693548832435	4.12737871421137	6.81654140888563	5.26966868284706
Lypd1	-0.93151463742105	5.33664879518635	2.19716289925576e-18	1.15638373513138e-15	26.94981095036	27.4787535575174	53.1645859015096	58.483904875302	29.5959050828306	26.8599683869224	59.7269526232375	40.1740206894342
