logFC	logCPM	PValue	FDR	Bo_14_2b	Bo_15_2b	Bo_22_2b	Bo_23_2b	Bo_24_2b	Bo_25_2b	Bo_20_2b	Bo_21_2b
Etv4	-0.686593292689243	2.60021128550671	5.84088829940664e-07	2.2476844528218e-05	4.33340337131494	5.35733484912889	4.21447856824984	4.13901204436414	6.60153881353809	8.0998894193847	7.35255604460474	7.0493253030053
Gfap	-1.45146683580649	8.94346611256508	1.53241340266473e-29	1.05851455789066e-25	243.756291831589	261.194344056498	315.266239220661	233.978918629729	706.771145941167	933.207091985312	574.699033110392	668.82420759652
Rras	-0.588649798427448	2.35585761610278	0.000130745363006053	0.00237977231874654	3.77178939785179	4.34524221390914	3.9623004875149	3.73237699737214	5.63445742512264	7.26380452873439	5.03305463798236	5.92739027782532
Trpm4	-0.716475446932051	2.12386956182956	0.000103320738826768	0.00196068132814808	2.80972736870924	4.35380576162052	2.89368105867066	2.59995284980003	4.26941055973632	6.19244214927581	5.65428019430015	4.72733326737723
Slc17a6	-1.42060166405944	4.11843534450245	2.06148117147614e-08	1.2436402787748e-06	6.90736233438139	8.36599381036778	16.0095100633248	6.10164274708886	24.0629620689698	35.9968298825455	22.6485077607464	17.4725946747958
Runx1	-0.990655127970935	1.20122860450348	3.84902409294353e-06	0.000116101021493482	1.44419230415106	1.63024604766317	1.24159810672304	1.37920960263719	2.65660412923948	2.81489308984124	2.92906568159383	2.96325748780131
Runx1.1	-0.990655127970935	1.20122860450348	3.84902409294353e-06	0.000116101021493482	1.44419230415106	1.63024604766317	1.24159810672304	1.37920960263719	2.65660412923948	2.81489308984124	2.92906568159383	2.96325748780131
Plcxd2	-0.765951661294486	5.24570006644262	0.000200039607714217	0.00337841953615147	22.5550100182566	42.4728888436316	26.9989829514759	19.734719329828	35.4249292148247	58.2968909085686	59.020507630869	37.3356408233625
Pycard	-0.854605498507206	0.959231276750103	0.000471274026809672	0.00666643348019681	1.12398629679888	1.08329641014	1.80604273090732	1.05632961388861	2.41351850073295	2.80497407911484	1.98379731942641	2.00354659609034
Tmem200a	-0.589806106923174	3.08576106967475	5.21539547311985e-06	0.000150418973822862	6.49950999986127	8.0751823101937	5.78956642967987	6.16682235526093	9.01651386682022	9.76984197247662	11.3901928890586	9.77259908497061
