Gene	DG_logFC	CA_FC	Bo_20_4b	Bo_21_4b	Bo_22_4b	Bo_23_4b	Bo_24_4b	Bo_25_4b	Bo_14_4b	Bo_15_4b	Bo_14_5b	Bo_15_5b	Bo_22_5b	Bo_23_5b	Bo_20_5b	Bo_21_5b	Bo_24_5b	Bo_25_5b
Emilin2	Emilin2	1.386024941	-1.227281807	-0.885156709060651	-0.226875980751599	-0.408070973995716	-0.703522081569195	0.592202354832995	2.88844279187282	-0.437646052808452	2.17139902455701	-0.23447775022068	0.0611808384244266	-0.329110028799005	-0.520285624793812	-1.01818891167509	-1.14441701688876	-0.768837715695117	-1.27621842346419
Kcnip2	Kcnip2	1.335025645	-0.628485713	-1.37591084914206	-0.541020932881256	-0.836919113531043	-0.960236639762037	1.27512567356551	2.32075111244879	1.76253344088038	1.79698207272382	0.606549889001748	0.0777695531900054	-0.107842393128058	0.98235440359505	-1.01079411066535	-0.4894513064027	-0.648611876068121	-0.668220762532714
Wnt2	Wnt2	1.3220852	-0.967023234	0.395406492097417	0.0425449155614157	0.0860040230153697	-0.108398557128277	1.8146347467118	2.21903638767135	-0.13508887795514	3.57268860995262	0.793742130274736	1.27976673045563	0.468904847998208	0.293398186910496	-0.00201658925088096	-0.452648374622771	0.0523285322987936	-0.0418499841185841
AABR07007642.1	AABR07007642.1	1.228658312	-0.781636679	-0.293052130421432	0.222848683039064	0.0387064246898718	-0.00233720715681323	1.62161623654094	2.0935348866007	2.47679743035696	1.35406916571536	1.36815989690748	1.03833252417811	0.616823981443143	1.5139345711703	-0.175150905552725	0.152373828774517	0.410350796574546	-0.104598242863166
Arhgef25	Arhgef25	1.205692188	-0.704212534	-0.586501673860042	-0.226837464395396	-0.373456427936946	-0.498146545543333	2.0173821206598	2.64854998332156	1.56240384134163	2.10122609147642	1.33069443397303	1.27194559767732	0.356178739819747	1.06913629071443	-0.435928747358935	-0.561869457685094	0.144965060434011	-0.26812176165071
Fkbp9	Fkbp9	1.133637589	-0.644289918	-0.616177411563926	0.0579292582521039	-0.188532085798066	-0.343624114117333	1.61012964065019	1.95891403927235	1.53720172425337	3.34347158331512	0.511233781769647	0.705676623671886	0.254487605771604	0.25664341346715	-0.532221640737267	-0.660637572022043	-0.138227701660233	-0.813348749963646
Itgb4	Itgb4	1.075177064	-0.949195736	0.041729817093721	0.143969980425587	0.0346636992145743	0.224827560711514	1.1684752507185	0.0249348558698865	4.0671051799232	1.37811163746676	0.357841808398845	0.11067376733281	0.376417840740682	0.695061467925379	-0.536613086649368	-0.127716816274477	-0.530432073500393	-0.500558158009306
Dpf3	Dpf3	0.967767785	-0.643105608	-0.260511263581852	0.0118730283326207	-0.0878264067888702	-0.229837384098632	1.99645582184515	3.05656024324589	1.31019679506905	1.40275112449849	1.05946906284274	1.21076354400505	0.267218745882968	0.704685229731751	-0.46221484539117	-0.510319306253208	0.638660777869819	-0.803423329314603
Plcxd2	Plcxd2	0.942914751	-0.762274091	0.0261992792125406	0.071513984732411	0.0156951484597445	0.037861220152694	1.65523481818438	1.46616730184884	2.1205406062093	0.967755148198607	1.74764286540027	1.71503208592867	0.595840057003489	1.37766239841332	-0.00208728517502842	-0.228556999375652	0.60994287310431	0.267196320476199
Trpc6	Trpc6	0.889679128	-0.82000526	-0.0793569357831077	0.394554673925424	0.219874799161717	0.130777034521495	1.43570356462223	1.59198075115409	1.58334876897538	2.22213898628869	1.39402266373724	1.58366526106261	1.28517403451712	1.17601275667117	0.12224360422331	-0.0234806351310582	0.202541795401167	-0.0271542788744364
